"remoteness","state","year","measure","value_type","value","na_value"
"Major Cities","New South Wales",2011,"Estimated Resident Population","persons",5373687,NA
"Major Cities","New South Wales",2011,"Deaths","no.",34066,NA
"Major Cities","New South Wales",2011,"Infant mortality rate","rate",NA,"np"
"Major Cities","New South Wales",2011,"Standardised death rate","rate",NA,"np"
"Major Cities","New South Wales",2011,"Median age at death","years",NA,"np"
"Major Cities","New South Wales",2012,"Estimated Resident Population","persons",5448022,NA
"Major Cities","New South Wales",2012,"Deaths","no.",33250,NA
"Major Cities","New South Wales",2012,"Infant mortality rate","rate",NA,"np"
"Major Cities","New South Wales",2012,"Standardised death rate","rate",NA,"np"
"Major Cities","New South Wales",2012,"Median age at death","years",NA,"np"
"Major Cities","New South Wales",2013,"Estimated Resident Population","persons",5535597,NA
"Major Cities","New South Wales",2013,"Deaths","no.",34069,NA
"Major Cities","New South Wales",2013,"Infant mortality rate","rate",3.3,NA
"Major Cities","New South Wales",2013,"Standardised death rate","rate",5.4,NA
"Major Cities","New South Wales",2013,"Median age at death","years",82,NA
"Major Cities","New South Wales",2014,"Estimated Resident Population","persons",5627414,NA
"Major Cities","New South Wales",2014,"Deaths","no.",35391,NA
"Major Cities","New South Wales",2014,"Infant mortality rate","rate",3.2,NA
"Major Cities","New South Wales",2014,"Standardised death rate","rate",5.4,NA
"Major Cities","New South Wales",2014,"Median age at death","years",82.2,NA
"Major Cities","New South Wales",2015,"Estimated Resident Population","persons",5723253,NA
"Major Cities","New South Wales",2015,"Deaths","no.",36234,NA
"Major Cities","New South Wales",2015,"Infant mortality rate","rate",3.3,NA
"Major Cities","New South Wales",2015,"Standardised death rate","rate",5.4,NA
"Major Cities","New South Wales",2015,"Median age at death","years",82.3,NA
"Major Cities","New South Wales",2016,"Estimated Resident Population","persons",5825821,NA
"Major Cities","New South Wales",2016,"Deaths","no.",35660,NA
"Major Cities","New South Wales",2016,"Infant mortality rate","rate",3,NA
"Major Cities","New South Wales",2016,"Standardised death rate","rate",5.3,NA
"Major Cities","New South Wales",2016,"Median age at death","years",82.5,NA
"Major Cities","New South Wales",2017,"Estimated Resident Population","persons",5930874,NA
"Major Cities","New South Wales",2017,"Deaths","no.",35408,NA
"Major Cities","New South Wales",2017,"Infant mortality rate","rate",2.8,NA
"Major Cities","New South Wales",2017,"Standardised death rate","rate",5.2,NA
"Major Cities","New South Wales",2017,"Median age at death","years",82.6,NA
"Major Cities","New South Wales",2018,"Estimated Resident Population","persons",6011991,NA
"Major Cities","New South Wales",2018,"Deaths","no.",36058,NA
"Major Cities","New South Wales",2018,"Infant mortality rate","rate",2.6,NA
"Major Cities","New South Wales",2018,"Standardised death rate","rate",5.1,NA
"Major Cities","New South Wales",2018,"Median age at death","years",82.6,NA
"Major Cities","New South Wales",2019,"Estimated Resident Population","persons",6088337,NA
"Major Cities","New South Wales",2019,"Deaths","no.",37491,NA
"Major Cities","New South Wales",2019,"Infant mortality rate","rate",2.9,NA
"Major Cities","New South Wales",2019,"Standardised death rate","rate",5.1,NA
"Major Cities","New South Wales",2019,"Median age at death","years",82.5,NA
"Major Cities","New South Wales",2020,"Estimated Resident Population","persons",6137535,NA
"Major Cities","New South Wales",2020,"Deaths","no.",35199,NA
"Major Cities","New South Wales",2020,"Infant mortality rate","rate",3.1,NA
"Major Cities","New South Wales",2020,"Standardised death rate","rate",5,NA
"Major Cities","New South Wales",2020,"Median age at death","years",82.4,NA
"Major Cities","New South Wales",2021,"Estimated Resident Population","persons",6112572,NA
"Major Cities","New South Wales",2021,"Deaths","no.",37918,NA
"Major Cities","New South Wales",2021,"Infant mortality rate","rate",3.2,NA
"Major Cities","New South Wales",2021,"Standardised death rate","rate",4.9,NA
"Major Cities","New South Wales",2021,"Median age at death","years",82.5,NA
"Major Cities","New South Wales",2022,"Estimated Resident Population","persons",6166301,NA
"Major Cities","New South Wales",2022,"Deaths","no.",42634,NA
"Major Cities","New South Wales",2022,"Infant mortality rate","rate",2.9,NA
"Major Cities","New South Wales",2022,"Standardised death rate","rate",5,NA
"Major Cities","New South Wales",2022,"Median age at death","years",82.7,NA
"Major Cities","New South Wales",2023,"Estimated Resident Population","persons",6323830,NA
"Major Cities","New South Wales",2023,"Deaths","no.",39643,NA
"Major Cities","New South Wales",2023,"Infant mortality rate","rate",2.8,NA
"Major Cities","New South Wales",2023,"Standardised death rate","rate",5.1,NA
"Major Cities","New South Wales",2023,"Median age at death","years",82.8,NA
"Major Cities","New South Wales",2024,"Estimated Resident Population","persons",6443689,NA
